id,url,address,price,area,time1 (transit),time1 (drive), dist1,time2 (transit),time2 (drive), dist2
132390736,https://www.finn.no/eiendom/nybygg/prosjekt?finnkode=132390736&area_from=105&lat=59.91298&lon=10.7339&price_collective_to=4000000&radius=35000,Feviksvingen 53 D  2033 Åsgreina,2.82,67.00,00:00:00,00:00:00,0.00,00:00:00,00:00:00,0.00
193497812,https://www.finn.no/realestate/homes/ad.html?finnkode=193497812,Strandveien 32  3050 Mjøndalen,3.29,176.00,01:10:41,00:48:13,62.48,00:57:35,00:47:27,55.44
189187922,https://www.finn.no/realestate/homes/ad.html?finnkode=189187922,Kastanjeveien 110  3026 Drammen,3.57,118.00,01:28:37,00:46:29,54.56,01:15:31,00:45:42,47.53
193380706,https://www.finn.no/realestate/homes/ad.html?finnkode=193380706,Skapertjernveien 7  3427 Gullaug,2.97,212.00,00:00:00,00:00:00,0.00,00:00:00,00:00:00,0.00
193509577,https://www.finn.no/realestate/homes/ad.html?finnkode=193509577,Flatenveien 10  1807 Askim,2.98,122.00,01:37:43,00:49:08,60.58,01:21:25,00:50:47,55.24
193451499,https://www.finn.no/realestate/homes/ad.html?finnkode=193451499,Vestbykroken 29B  2072 Dal,3.07,114.00,01:12:57,00:35:51,51.34,00:54:27,00:43:36,56.32
193498301,https://www.finn.no/realestate/homes/ad.html?finnkode=193498301,Syrinveien 15A  3408 Tranby,3.48,112.00,01:08:08,00:34:41,41.88,00:56:57,00:33:55,34.84
193366545,https://www.finn.no/realestate/homes/ad.html?finnkode=193366545,Bekkedalsvingen 13  2070 Råholt,3.28,98.00,01:14:22,00:41:05,55.12,00:55:52,00:48:50,60.09
193498438,https://www.finn.no/realestate/homes/ad.html?finnkode=193498438,Ensrudvegen 50  2750 Gran,2.36,172.00,00:00:00,01:03:49,63.60,00:00:00,01:10:35,65.78
193497324,https://www.finn.no/realestate/homes/ad.html?finnkode=193497324,Åsvegen 782  2032 Maura,2.56,282.00,01:28:00,00:40:09,55.20,01:12:40,00:47:55,60.18
193466715,https://www.finn.no/realestate/homes/ad.html?finnkode=193466715,Røsslyngveien 9A  1812 Askim,3.47,118.00,01:53:08,00:51:35,61.59,01:40:57,00:53:14,56.24
193341210,https://www.finn.no/realestate/homes/ad.html?finnkode=193341210,Granvegen 27  2742 Grua,3.18,102.00,01:27:56,00:49:14,51.30,01:11:08,00:55:59,53.48
